Core Project Number,Affilation,Authors ,	Country,	ISSN,Journal Issue,Journal (Link to PubMed abstract) ,Journal Title ABBR,Journal Volume,Language,Page Number,PMC ID,PMID,PUB Date,Title (Link to full-text in PubMed Central) ,PUB Year,Related Publications in PubMed,Related Publications in Google Scholar,Articles Citing from PubMed Central,Articles Citing from Google Scholar,Clinical Trials cited
U01CA200147,"Basic Sciences Division, Fred Hutchinson Cancer Research Center, Seattle, WA 98109, USA.","Brahma, Sandipan; Henikoff, Steven","United States",1097-4164,"2","Molecular cell.","Mol Cell",73,eng,"238-249.e3",,30554944,2019 Jan 17;,"RSC-Associated Subnucleosomes Define MNase-Sensitive Promoters in Yeast.",2019,"<a href='https://www.ncbi.nlm.nih.gov/pubmed?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=30554944&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed' target='_blank'>Related, PubMed</a> "," <a href='https://scholar.google.com/scholar?q=related:https://www.ncbi.nlm.nih.gov/pubmed/30554944' target='_blank'>Related, Google Scholar</a>",," <a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://www.ncbi.nlm.nih.gov/pubmed/30554944' target='_blank'>Cited By, Google</a>",
U01HL130010,"The Jackson Laboratory for Genomic Medicine, Farmington, CT 06032, USA.","Lawlor, Nathan; Márquez, Eladio J; Orchard, Peter; Narisu, Narisu; Shamim, Muhammad Saad; Thibodeau, Asa; Varshney, Arushi; Kursawe, Romy; Erdos, Michael R; Kanke, Matt; Gu, Huiya; Pak, Evgenia; Dutra, Amalia; Russell, Sheikh; Li, Xingwang; Piecuch, Emaly; Luo, Oscar; Chines, Peter S; Fuchbserger, Christian; NIH Intramural Sequencing Center; Sethupathy, Praveen; Aiden, Aviva Presser; Ruan, Yijun; Aiden, Erez Lieberman; Collins, Francis S; Ucar, Duygu; Parker, Stephen C J; Stitzel, Michael L","United States",2211-1247,"3","Cell reports.","Cell Rep",26,eng,"788-801.e6",,30650367,2019 Jan 15;,"Multiomic Profiling Identifies cis-Regulatory Networks Underlying Human Pancreatic ? Cell Identity and Function.",2019,"<a href='https://www.ncbi.nlm.nih.gov/pubmed?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=30650367&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed' target='_blank'>Related, PubMed</a> "," <a href='https://scholar.google.com/scholar?q=related:https://www.ncbi.nlm.nih.gov/pubmed/30650367' target='_blank'>Related, Google Scholar</a>",," <a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://www.ncbi.nlm.nih.gov/pubmed/30650367' target='_blank'>Cited By, Google</a>",
U01EB021236,"Departments of Genetics, Albert Einstein College of Medicine, Bronx, New York, United States.","Limi, Saima; Zhao, Yilin; Guo, Peng; Lopez-Jones, Melissa; Zheng, Deyou; Singer, Robert H; Skoultchi, Arthur I; Cvekl, Ales","United States",1552-5783,"1","Investigative ophthalmology & visual science.","Invest Ophthalmol Vis Sci",60,eng,"234-244",6336207,30646012,2019 Jan 02;,"<a href='https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6336207/' target='_blank'>Bidirectional Analysis of Cryba4-Crybb1 Nascent Transcription and Nuclear Accumulation of Crybb3 mRNAs in Lens Fibers.</a>",2019,"<a href='https://www.ncbi.nlm.nih.gov/pubmed?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=30646012&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed' target='_blank'>Related, PubMed</a> "," <a href='https://scholar.google.com/scholar?q=related:https://www.ncbi.nlm.nih.gov/pubmed/30646012' target='_blank'>Related, Google Scholar</a>","<a href='http://www.pubmedcentral.nih.gov/tocrender.fcgi?artid=6336207&action=cited' target='_blank'>Cited By, PMC</a> "," <a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://www.ncbi.nlm.nih.gov/pubmed/30646012' target='_blank'>Cited By, Google</a>",
U54DK107979,"Department of Genome Sciences, University of Washington, Seattle, Washington.","Lin, Dejun; Bonora, Giancarlo; Yard?mc?, Galip Gürkan; Noble, William S","United States",1939-005X,"1","Wiley interdisciplinary reviews. Systems biology and medicine.","Wiley Interdiscip Rev Syst Biol Med",11,eng,"e1435",6294685,30022617,2019 Jan;,"Computational methods for analyzing and modeling genome structure and organization.",2019,"<a href='https://www.ncbi.nlm.nih.gov/pubmed?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=30022617&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed' target='_blank'>Related, PubMed</a> "," <a href='https://scholar.google.com/scholar?q=related:https://www.ncbi.nlm.nih.gov/pubmed/30022617' target='_blank'>Related, Google Scholar</a>","<a href='http://www.pubmedcentral.nih.gov/tocrender.fcgi?artid=6294685&action=cited' target='_blank'>Cited By, PMC</a> "," <a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://www.ncbi.nlm.nih.gov/pubmed/30022617' target='_blank'>Cited By, Google</a>",
U54DK107965,"Department of Biochemistry, University of Illinois at Urbana-Champaign, Urbana, IL 61801, USA.","Tasan, Ipek; Sustackova, Gabriela; Zhang, Liguo; Kim, Jiah; Sivaguru, Mayandi; HamediRad, Mohammad; Wang, Yuchuan; Genova, Justin; Ma, Jian; Belmont, Andrew S; Zhao, Huimin","England",1362-4962,"17","Nucleic acids research.","Nucleic Acids Res",46,eng,"e100",6158506,29912475,2018 Sep 28;,"<a href='https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6158506/' target='_blank'>CRISPR/Cas9-mediated knock-in of an optimized TetO repeat for live cell imaging of endogenous loci.</a>",2018,"<a href='https://www.ncbi.nlm.nih.gov/pubmed?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=29912475&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed' target='_blank'>Related, PubMed</a> "," <a href='https://scholar.google.com/scholar?q=related:https://www.ncbi.nlm.nih.gov/pubmed/29912475' target='_blank'>Related, Google Scholar</a>","<a href='http://www.pubmedcentral.nih.gov/tocrender.fcgi?artid=6158506&action=cited' target='_blank'>Cited By, PMC</a> "," <a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://www.ncbi.nlm.nih.gov/pubmed/29912475' target='_blank'>Cited By, Google</a>",
U01HL129998,"Department of Bioengineering, University of Pennsylvania, Philadelphia, PA 19104, USA; Epigenetics Institute, Perelman School of Medicine, University of Pennsylvania, Philadelphia, PA 19104, USA.","Sun, James H; Zhou, Linda; Emerson, Daniel J; Phyo, Sai A; Titus, Katelyn R; Gong, Wanfeng; Gilgenast, Thomas G; Beagan, Jonathan A; Davidson, Beverly L; Tassone, Flora; Phillips-Cremins, Jennifer E","United States",1097-4172,"1","Cell.","Cell",175,eng,"224-238.e15",6175607,30173918,2018 Sep 20;,"Disease-Associated Short Tandem Repeats Co-localize with Chromatin Domain Boundaries.",2018,"<a href='https://www.ncbi.nlm.nih.gov/pubmed?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=30173918&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed' target='_blank'>Related, PubMed</a> "," <a href='https://scholar.google.com/scholar?q=related:https://www.ncbi.nlm.nih.gov/pubmed/30173918' target='_blank'>Related, Google Scholar</a>","<a href='http://www.pubmedcentral.nih.gov/tocrender.fcgi?artid=6175607&action=cited' target='_blank'>Cited By, PMC</a> "," <a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://www.ncbi.nlm.nih.gov/pubmed/30173918' target='_blank'>Cited By, Google</a>",
U54DK107979,"Center for Immunity and Immunotherapies, Seattle Children's Research Institute, Seattle, WA.","Wray-Dutra, Michelle N; Chawla, Raghav; Thomas, Kerri R; Seymour, Brenda J; Arkatkar, Tanvi; Sommer, Karen M; Khim, Socheath; Trapnell, Cole; James, Richard G; Rawlings, David J","United States",1540-9538,"9","The Journal of experimental medicine.","J Exp Med",215,eng,"2445-2461",6122963,30127060,2018 Sep 03;,"Activated CARD11 accelerates germinal center kinetics, promoting mTORC1 and terminal differentiation.",2018,"<a href='https://www.ncbi.nlm.nih.gov/pubmed?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=30127060&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed' target='_blank'>Related, PubMed</a> "," <a href='https://scholar.google.com/scholar?q=related:https://www.ncbi.nlm.nih.gov/pubmed/30127060' target='_blank'>Related, Google Scholar</a>","<a href='http://www.pubmedcentral.nih.gov/tocrender.fcgi?artid=6122963&action=cited' target='_blank'>Cited By, PMC</a> "," <a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://www.ncbi.nlm.nih.gov/pubmed/30127060' target='_blank'>Cited By, Google</a>",
U01EB021239,"Lewis-Sigler Institute for Integrative Genomics, Princeton University, Princeton, NJ, USA.","Chen, Hongtao; Levo, Michal; Barinov, Lev; Fujioka, Miki; Jaynes, James B; Gregor, Thomas","United States",1546-1718,"9","Nature genetics.","Nat Genet",50,eng,"1296-1303",6119122,30038397,2018 Sep;,"<a href='https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6119122/' target='_blank'>Dynamic interplay between enhancer-promoter topology and gene activity.</a>",2018,"<a href='https://www.ncbi.nlm.nih.gov/pubmed?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=30038397&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed' target='_blank'>Related, PubMed</a> "," <a href='https://scholar.google.com/scholar?q=related:https://www.ncbi.nlm.nih.gov/pubmed/30038397' target='_blank'>Related, Google Scholar</a>","<a href='http://www.pubmedcentral.nih.gov/tocrender.fcgi?artid=6119122&action=cited' target='_blank'>Cited By, PMC</a> "," <a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://www.ncbi.nlm.nih.gov/pubmed/30038397' target='_blank'>Cited By, Google</a>",
U01EB021239,"Joseph Henry Laboratories of Physics and the Lewis-Sigler Institute for Integrative Genomics, Princeton University, Princeton, NJ 08544, USA.","Zoller, Benjamin; Little, Shawn C; Gregor, Thomas","United States",1097-4172,"3","Cell.","Cell",175,eng,"835-847.e25",,30340044,2018 Oct 18;,"Diverse Spatial Expression Patterns Emerge from Unified Kinetics of Transcriptional Bursting.",2018,"<a href='https://www.ncbi.nlm.nih.gov/pubmed?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=30340044&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed' target='_blank'>Related, PubMed</a> "," <a href='https://scholar.google.com/scholar?q=related:https://www.ncbi.nlm.nih.gov/pubmed/30340044' target='_blank'>Related, Google Scholar</a>",," <a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://www.ncbi.nlm.nih.gov/pubmed/30340044' target='_blank'>Cited By, Google</a>",
U01CA200060,"Propagenix, 9605 Medical Center Drive, Suite 325, Rockville, MD 20850, USA. Electronic address: ck.zhang@propagenix.com.","Zhang, Chengkang; Lee, Hyung Joo; Shrivastava, Anura; Wang, Ruipeng; McQuiston, Travis J; Challberg, Sharon S; Pollok, Brian A; Wang, Ting","United States",2211-1247,"3","Cell reports.","Cell Rep",25,eng,"598-610.e5",6284236,30332641,2018 Oct 16;,"<a href='https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6284236/' target='_blank'>Long-Term In Vitro Expansion of Epithelial Stem Cells Enabled by Pharmacological Inhibition of PAK1-ROCK-Myosin II and TGF-? Signaling.</a>",2018,"<a href='https://www.ncbi.nlm.nih.gov/pubmed?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=30332641&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed' target='_blank'>Related, PubMed</a> "," <a href='https://scholar.google.com/scholar?q=related:https://www.ncbi.nlm.nih.gov/pubmed/30332641' target='_blank'>Related, Google Scholar</a>","<a href='http://www.pubmedcentral.nih.gov/tocrender.fcgi?artid=6284236&action=cited' target='_blank'>Cited By, PMC</a> "," <a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://www.ncbi.nlm.nih.gov/pubmed/30332641' target='_blank'>Cited By, Google</a>",
